"id","collection","dc.title","dc.description.abstract","dc.identifier.doi","dc.identifier.issn","dc.contributor.author","dc.type","dc.identifier.scopus","dc.date.issued"
"+","123456789/7294","Global anomaly detection based on a deep prediction neural network","© Springer Nature Switzerland AG 2019. Abnormal event detection in public scenes is very important in recent society. In this paper, a method for global anomaly detection in video surveillance is proposed, which is based on a deep prediction neural network. The deep prediction neural network is built on the Convolutional Neural Network (CNN) and a variant of the Recurrent Neural Network (RNN)-Long Short-Term Memory (LSTM). Especially, the feature of a frame is the output of CNN, which is instead of the hand-crafted feature. First, the feature of a short video clip is obtained through CNN. Second, the predicted feature of the next frame can be gained by LSTM. Finally, the prediction error is introduced to detect that a frame is abnormal or not after the feature of the frame is achieved. Experimental results of global abnormal event detection show the effectiveness of our deep prediction neural network. Comparing with state-of-the-art methods, the model we proposed obtains superior detection results.","10.1007/978-3-030-37429-7_21","03029743","||Li A.||Miao Z.||Cen Y.||Mladenovic V.::0000-0001-8530-2312::600||Liang L.||Zheng X.","Conference Paper","85081894167","2019-01-01"
"+","123456789/7294","Risk management of a hydro power plant – fracture mechanics approach","© 2019, Strojarski Facultet. All rights reserved. Risk management of a hydro power plant has been analysed from fracture mechanics point of view. The research is focused on the risk and integrity assessment of pressure equipment in a reversible hydro power plant in order to determine to what extent it poses a risk to Bajina Basta settlement and its inhabitants. The risk matrix has been used to assess risk level according to probability and consequence in a more descriptive way, whereas the failure assessment diagram has been used as an alternative engineering approach, including level II analysis.","10.17559/TV-20180618102041","13303651","||Vučetić I.||Kirin S.::0000-0002-2176-3969::600||Sedmak A.::0000-0002-5438-1895::600||Golubović T.||Lazic M.::0000-0002-7857-0578::600","Article","85070862714","2019-01-01"
"+","123456789/7294","Histochemical, immunohistochemical and ultrastructural analysis of aortic wall in neonatal coarctation","© 2019, Editura Academiei Romane. All rights reserved. The neonatal type of coarctation is characterized by the presence of the ductal sling and coarctational shelf placed proximally in relation to the ductal orifice. Those morphological features are not described in detail yet from immunohistochemical and transmission electron microscopy (TEM) aspects, so the aim of this study was to investigate the smooth muscle cells (SMCs) phenotype in aortic intimal thickening, presence of inflammatory cells and contents of intimal and medial, and adventitial connective tissue. We examined samples of coarctation segments excised at surgery after end-to-end anastomosis from 30 patients, ages from 14 days to three months, histochemicaly, immunocytochemically and by TEM. In all samples, it is noticed focal intimal thickening on the posterior aortic wall, with accumulation of SMCs, which show immunoreactivity on alpha-smooth muscle actin (α-SMA) and vimentin (but not on desmin) and also expressed proliferating cell nuclear antigen (PCNA) and S-100 protein. At TEM analysis, those SMCs show a fibroblast-like morphology, so their functions could be to proliferate and secrete extracellular matrix (ECM) components (a synthetic phenotype). In all studied samples of the coarctation, on the posterior wall, the immunocytochemical and TEM examination revealed the presence of SMCs of the synthetic phenotype. Results also showed an increase of the cell number in intima of this part of aortic wall, followed by proliferated SMCs in inner media and absence of inflammatory cells. This finding suggests that proliferation of the SMCs, their synthetic activity and increase of the cell number could lead to formation of the intimal thickening on the posterior wall.","","12200522","||Tanaskovic I.::0000-0002-1877-3250::600||Ilic S.||Jurišić V.::0000-0001-6525-128X::600||Lackovic M.||Milosavljevic Z.||Stankovic V.::0000-0002-8041-3491::600||Aleksic A.||Sazdanovic M.","Article","85082979256","2019-01-01"
"+","123456789/7294","Drug Methods for Arteficial Termination of Unwanted Pregnancy","© 2016 Aleksandra Dimitrijevic, published by De Gruyter Open. All medical and surgical procedures are carried out in order to premature termnination of pregnancy, can be divided on medicament and surgical methods, according to the way of procedure. Medications used today in order to break unwanted pregnancy are inhibitors of the synthetics of progesterone and antiprogesterone, prostaglandini and antimetabolite. Mifepristone is a derivate of norethidrone, binds to the progesterone receptor with an affinity similar progesterone, but it does not activate them so as to act as an antiprogestine. Metotrexat is an antimetabolite and is used in gynecology practice for more indication areas. It is used the most often in conservative treatment of ectopical pregnancy. Because of low price and accessibility in order to mifepristone, it was used for application in drug methods of inducative abortions. Misoprostol is an anlogue PGE1, used in peroral pills. The complication are very rare at aplication of mifepristone and misoprostole in the aim to the termination the early unwanted pregnancy. The appearance of more efficient procedure of drugs called out abortions, it does not mean taht decision for the abortion is more modest. The ease and safety should not help to make a decision.","10.1515/sjecr-2016-0093","18208665","||Dimitrijević A.::0000-0003-0102-3354::600","","85082214729","2018-02-10"
"+","123456789/7294","Applied neuroergonomic: Recent updates from automotive industry case studies","© 2018 Elsevier Inc. All rights reserved. This paper presents recent updates of performed and undergoing ergonomic studies inspired by observed and analyzed industrial case studies. Ergonomic problems and issues from two workplaces at automotive industry were identified and analyzed through their replication in laboratory conditions and implementation of multimodal approach for using of selected neuroergonomic, psychophysiology and Human-Computer Interface (HCI) tools and methods. Initial results shows significant potential for real-time and continuous monitoring and assessment of various parameters that could serve as objective identifications of operators’ mental and physical load in operational environment.","10.1016/B978-0-12-811926-6.00055-5","","||Macuzić I.||Giagloglou E.::0000-0001-7754-5437::600||Zivanović-Macuzić I.||Jeremic B.","Chapter","85081335957","2018-01-01"
"+","123456789/7294","Neurophysiological Assessment of Cognitive Dysfunction in Patients with Multiple Sclerosis","Cognitive impairment occurs in a high percentage in all forms of multiple sclerosis, regardless of physical disability. Slowing the speed of information processing is one of the most difficult and the most frequently mentioned, but impairment of memory, attention, executive functions are included also. Long latency event related potentials (ERP) are much more objective means of cognitive functioning evaluation. Different types of immunomodulatory therapies which are used for relapsing- remitting forms of multiple sclerosis may affect the results of ERP.ERP can evaluate subclinical changes and provide important information on the evolution of cognitive changes in patients with MS.","10.1515/sjecr-2016-0056","18208665","||Drakulić S.","","85082360558","2016-06-28"
"+","123456789/7294","Corrigendum to "The ameliorating effect of Filipendula hexapetala extracts on hepatorenal toxicity of cisplatin" [J. Funct. Foods 18(A) (2015) 198-212]","","10.1016/j.jff.2016.11.017","17564646","||Katanic J.::0000-0002-2997-9588::600||Mihailović V.::0000-0003-4113-6804::600||Matic S.::0000-0003-4570-4370::600||Stankovic V.::0000-0002-8041-3491::600||Stanković N.::0000-0001-5218-8293::600||Boroja T.::0000-0002-4001-4269::600||Mladenović M.||Stanić S.||Kreft S.||Mirjana M.::0000-0002-8097-1186::600","","85082369244","2016-01-01"
"+","123456789/7294","Comparative thermal buckling analysis of functionally graded plate","A thermal buckling analysis of functionally graded thick rectangular plates according to von Karman nonlinear theory is presented. The material properties of the functionally graded plate, except for the Poisson's ratio, were assumed to be graded in the thickness direction, according to a power-law distribution, in terms of the volume fractions of the metal and ceramic constituents. Formulations of equilibrium and stability equations are derived using the high order shear deformation theory based on different types of shape functions. Analytical method for determination of the critical buckling temperature for uniform increase of temperature, linear and nonlinear change of temperature across thickness of a plate is developed. Numerical results were obtained in Matlab software using combinations of symbolic and numeric values. The paper presents comparative results of critical buckling temperature for different types of shape functions. The accuracy of the formulation presented is verified by comparing to results available from the literature.","10.2298/TSCI160614182C","03549836","||Čukanović D.||Bogdanovic G.||Radaković A.::0000-0002-7355-7403::600||Milosavljevic D.||Veljovic L.||Balac I.","Article","85082348184","2016-01-01"
"+","123456789/7294","Information technologies in contemporary school management system","© 2014, Emerald Group Publishing Limited. Subject area: Management, Information technologies. Study level/applicability: Courses at the senior university level in social and organizational sciences. Case overview: This case aims to observe modes, levels and specific problems in application of information technologies in informing, information sharing and collaboration as important aspects in ensuring quality in control of the processes that occur at school. Some deficiencies in application of information technology within these processes have been identified and alternatives to solving them have been offered. The discussion concerning the solutions was performed according to the parameters that were singled out as important in the analysis of the problems. A school that is recognized in Zlatibor region and elsewhere in Serbia for its advanced development tendencies was selected for the case study. The proposed solutions are practically applicable in any work collective. Expected learning outcomes: Modern management strategy in education; the importance of process management in insuring quality of whole management system; the importance of implementation of modern information technologies in school management system. Supplementary materials: Teaching Notes are available for educators only. Please contact your library to gain login details or email support@emeraldinsight.com to request teaching notes.","10.1108/EEMCS-11-2012-0195","","||Pavlović M.||Ranðić S.||Paunović L.","Article","85081014902","2014-11-25"
"+","123456789/7294","Clinical Stage-Dependent Down-Regulation of STAT 1, 3 and 5 Expression and Induction by TH1 Cytokines in Breast Cancer Patients","","10.1093/annonc/mdt085.5","09237534","||Radenković S.||Gopčević K.||Nikitović M.||Jurišić V.::0000-0001-6525-128X::600||Konjević G.","Article","85081640915","2013-05-01"
